Event Date,Event/Point Description,Logical Device,Location,Channel,Panel,Card Number
12/10/2019 16:17,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,10080                           
12/10/2019 16:15,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,10768                           
12/10/2019 16:14,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 16:14,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18041                           
12/10/2019 16:13,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 16:13,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 16:12,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 16:12,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,5818                            
12/10/2019 16:12,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,11369                           
12/10/2019 16:11,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 16:11,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,25401                           
12/10/2019 16:10,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,1936                            
12/10/2019 16:10,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,48324                           
12/10/2019 16:09,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,18041                           
12/10/2019 16:09,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,10768                           
12/10/2019 16:09,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 16:09,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 16:09,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 16:04,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,11369                           
12/10/2019 16:04,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,37220                           
12/10/2019 16:03,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,25401                           
12/10/2019 16:03,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,10080                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18041                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,34784                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,35974                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,21497                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,17865                           
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,6761                            
12/10/2019 16:02,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,25401                           
12/10/2019 16:01,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,11369                           
12/10/2019 16:00,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,6064                            
12/10/2019 15:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,13508                           
12/10/2019 15:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,29881                           
12/10/2019 15:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 15:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,7444                            
12/10/2019 15:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,34489                           
12/10/2019 15:57,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,21124                           
12/10/2019 15:57,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 15:56,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,44665                           
12/10/2019 15:56,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,34489                           
12/10/2019 15:55,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,44665                           
12/10/2019 15:55,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 15:54,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,17865                           
12/10/2019 15:54,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,7444                            
12/10/2019 15:53,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,21124                           
12/10/2019 15:53,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,13508                           
12/10/2019 15:53,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:53,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:53,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,10080                           
12/10/2019 15:52,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,7444                            
12/10/2019 15:52,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,34489                           
12/10/2019 15:51,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,13508                           
12/10/2019 15:51,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,39705                           
12/10/2019 15:51,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,41258                           
12/10/2019 15:51,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,5941                            
12/10/2019 15:50,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 15:50,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,44665                           
12/10/2019 15:50,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,48324                           
12/10/2019 15:50,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,10768                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,39705                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,1936                            
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,35289                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,43545                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,28569                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:49,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 15:48,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,17865                           
12/10/2019 15:48,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:47,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:47,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,48324                           
12/10/2019 15:47,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,1936                            
12/10/2019 15:47,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,39705                           
12/10/2019 15:45,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 15:44,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,16277                           
12/10/2019 15:44,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,21124                           
12/10/2019 15:42,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 15:42,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,33748                           
12/10/2019 15:41,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,43545                           
12/10/2019 15:40,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,43545                           
12/10/2019 15:40,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:39,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,16277                           
12/10/2019 15:39,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,22832                           
12/10/2019 15:37,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,5818                            
12/10/2019 15:33,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,5941                            
12/10/2019 15:32,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,1936                            
12/10/2019 15:30,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,1936                            
12/10/2019 15:30,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,5941                            
12/10/2019 15:29,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,25401                           
12/10/2019 15:27,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,25401                           
12/10/2019 15:26,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,4196                            
12/10/2019 15:25,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,6761                            
12/10/2019 15:24,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,33748                           
12/10/2019 15:23,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:23,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,5818                            
12/10/2019 15:23,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:22,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,4196                            
12/10/2019 15:21,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,33748                           
12/10/2019 15:21,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,10768                           
12/10/2019 15:21,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:19,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:19,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,6064                            
12/10/2019 15:18,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,6761                            
12/10/2019 15:17,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,10768                           
12/10/2019 15:17,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,13508                           
12/10/2019 15:17,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,22832                           
12/10/2019 15:16,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,35974                           
12/10/2019 15:15,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,13508                           
12/10/2019 15:15,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,23840                           
12/10/2019 15:15,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,6064                            
12/10/2019 15:14,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,38570                           
12/10/2019 15:14,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,22832                           
12/10/2019 15:12,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,21497                           
12/10/2019 15:11,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,7444                            
12/10/2019 15:11,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 15:10,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 15:06,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 15:04,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,7444                            
12/10/2019 15:03,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 15:01,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,18265                           
12/10/2019 15:01,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,21124                           
12/10/2019 15:00,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,48324                           
12/10/2019 14:59,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,14841                           
12/10/2019 14:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,35974                           
12/10/2019 14:58,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,48324                           
12/10/2019 14:57,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 14:56,Local Grant,BLR-3FLR WEST WING ODC1 OUT B62,BLR-3FLR WEST WING ODC1 OUT,BLR-CYIENT-IC2,PW-5000 Panel,57848                           
12/10/2019 14:54,Local Grant,BLR-3FLR WEST WING  ODC1 IN B61,BLR-3FLR WEST WING  ODC1 IN,BLR-CYIENT-IC2,PW-5000 Panel,34784                           
